Role	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	1995	1996	1997	1998	1999	2002
Accountants and auditors	(1.639, 58.6)	(1.723, 60.5)	(1.683, 61.9)	(1.779, 60.2)	(1.806, 61.9)	(1.762, 61.1)	(1.754, 61.8)	(1.646, 60.1)	(1.653, 61.3)	(1.765, 60.9)	(1.814, 62.1)	(1.724, 63.0)	(1.526, 52.1)	(1.538, 56.0)	(1.625, 56.6)	(1.616, 58.2)	(1.658, 58.6)	(1.702, 59.4)
Actors					(28.0, -1)	(30.0, -1)	(26.0, -1)	(25.0, -1)	(28.0, -1)	(37.0, -1)	(46.0, -1)	(43.0, -1)						
Actors and directors													(114.0, 38.9)	(136.0, 41.3)	(136.0, 38.2)	(130.0, 38.7)	(129.0, 38.8)	(155.0, 38.2)
Actuaries					(18.0, -1)	(26.0, -1)	(21.0, -1)	(25.0, -1)	(18.0, -1)	(26.0, -1)	(28.0, -1)	(28.0, -1)						
Adhesive bonding machine operators and tenders									(9.0, -1)	(9.0, -1)	(12.0, -1)	(6.0, -1)						
Adjusters and investigators													(1.414, 74.9)	(1.598, 74.3)	(1.701, 74.4)	(1.813, 74.7)	(1.802, 75.5)	(1.929, 73.8)
Administrative services managers	(81.0, 34.6)	(87.0, 34.6)	(80.0, 30.2)	(87.0, 24.4)	(98.0, 32.7)	(100.0, 32.6)	(118.0, 40.9)	(104.0, 34.4)	(128.0, 39.5)	(144.0, 44.1)	(113.0, 36.8)	(134.0, 40.8)						
Administrative support occupations, including clerical													(18.389, 79.5)	(18.353, 79.1)	(18.361, 78.8)	(18.41, 78.6)	(18.448, 78.7)	(18.184, 78.5)
Administrators, education and related fields													(701.0, 58.7)	(668.0, 56.9)	(733.0, 61.3)	(752.0, 62.2)	(821.0, 62.5)	(849.0, 64.6)
Administrators, protective services													(57.0, 33.2)	(55.0, 31.3)	(58.0, 22.2)	(60.0, 25.2)	(51.0, 27.8)	(54.0, 25.3)
Advertising and promotions managers	(69.0, 59.1)	(70.0, 60.3)	(67.0, 56.1)	(75.0, 52.5)	(77.0, 56.2)	(77.0, 62.1)	(78.0, 56.5)	(78.0, 61.1)	(87.0, 50.5)	(77.0, 49.4)	(51.0, 67.8)	(52.0, 57.9)						
Advertising and related sales													(151.0, 52.9)	(158.0, 61.1)	(173.0, 56.6)	(186.0, 58.3)	(187.0, 57.1)	(181.0, 61.8)
Advertising sales agents	(192.0, 59.7)	(211.0, 49.2)	(235.0, 50.2)	(220.0, 53.9)	(219.0, 57.5)	(216.0, 54.7)	(209.0, 49.6)	(214.0, 47.6)	(254.0, 55.6)	(230.0, 47.4)	(238.0, 47.2)	(227.0, 48.7)						
Aerospace engineers	(82.0, 11.0)	(113.0, 11.3)	(90.0, 13.3)	(110.0, 13.1)	(123.0, 10.5)	(137.0, 10.3)	(136.0, 10.0)	(126.0, 10.8)	(144.0, 12.4)	(119.0, 9.0)	(144.0, 12.2)	(147.0, 15.6)	(78.0, 5.2)	(80.0, 4.8)	(87.0, 4.7)	(86.0, 8.4)	(79.0, 11.5)	(90.0, 8.1)
Agents and business managers of artists, performers, and athletes					(41.0, -1)	(50.0, 36.5)	(42.0, -1)	(47.0, -1)	(48.0, -1)	(47.0, -1)	(59.0, 51.3)	(52.0, 48.9)						
Agricultural and food science technicians					(23.0, -1)	(24.0, -1)	(30.0, -1)	(20.0, -1)	(24.0, -1)	(32.0, -1)	(28.0, -1)	(39.0, -1)						
Agricultural and food scientists					(32.0, -1)	(38.0, -1)	(32.0, -1)	(35.0, -1)	(39.0, -1)	(42.0, -1)	(44.0, -1)	(31.0, -1)			(38.0, 28.2)			(51.0, 34.6)
Agricultural engineers					(4.0, -1)	(3.0, -1)	(3.0, -1)	(1.0, -1)	(1.0, -1)	(4.0, -1)	(3.0, -1)	(4.0, -1)						
Agricultural inspectors					(14.0, -1)	(24.0, -1)	(17.0, -1)	(28.0, -1)	(22.0, -1)	(16.0, -1)	(12.0, -1)	(17.0, -1)						
Air traffic controllers and airfield operations specialists					(33.0, -1)	(27.0, -1)	(40.0, -1)	(46.0, -1)	(43.0, -1)	(44.0, -1)	(40.0, -1)	(31.0, -1)						
Aircraft engine mechanics													(121.0, 1.7)	(137.0, 1.1)	(135.0, 2.9)	(153.0, 3.7)	(147.0, 4.2)	(126.0, 2.2)
Aircraft mechanics and service technicians	(128.0, 2.6)	(135.0, 3.4)	(140.0, 4.5)	(141.0, 5.3)	(126.0, 2.1)	(153.0, 1.7)	(142.0, 3.8)	(136.0, 2.3)	(164.0, 3.1)	(153.0, 1.6)	(162.0, 2.2)	(127.0, 3.3)						
Aircraft pilots and flight engineers	(116.0, 3.4)	(118.0, 5.3)	(121.0, 5.2)	(115.0, 2.2)	(123.0, 4.2)	(141.0, 2.6)	(126.0, 1.3)	(110.0, 5.2)	(121.0, 4.3)	(129.0, 4.1)	(135.0, 5.5)	(133.0, 7.2)						
Aircraft structure, surfaces, rigging, and systems assemblers					(10.0, -1)	(18.0, -1)	(23.0, -1)	(23.0, -1)	(20.0, -1)	(23.0, -1)	(14.0, -1)	(15.0, -1)						
Airplane pilots and navigators													(114.0, 3.4)	(114.0, 1.4)	(120.0, 1.2)	(113.0, 3.4)	(143.0, 3.1)	(129.0, 4.2)
Ambulance drivers and attendants, except emergency medical technicians					(17.0, -1)	(16.0, -1)	(13.0, -1)	(13.0, -1)	(13.0, -1)	(20.0, -1)	(17.0, -1)	(19.0, -1)						
Animal breeders					(8.0, -1)	(12.0, -1)	(6.0, -1)	(11.0, -1)	(10.0, -1)	(6.0, -1)	(4.0, -1)	(6.0, -1)						
Animal caretakers, except farm													(122.0, 66.5)	(133.0, 69.8)	(129.0, 69.8)	(130.0, 69.4)	(120.0, 76.0)	(170.0, 68.1)
Animal control workers					(10.0, -1)	(9.0, -1)	(13.0, -1)	(9.0, -1)	(6.0, -1)	(11.0, -1)	(11.0, -1)	(9.0, -1)						
Animal trainers					(31.0, -1)	(40.0, -1)	(44.0, -1)	(44.0, -1)	(49.0, -1)	(44.0, -1)	(36.0, -1)	(41.0, -1)						
Announcers	(61.0, 19.6)	(54.0, 21.6)	(61.0, 12.2)	(62.0, 30.8)	(51.0, 24.4)	(41.0, -1)	(52.0, 11.2)	(52.0, 18.0)	(53.0, 26.9)	(50.0, 23.6)	(48.0, -1)	(60.0, 25.7)			(61.0, 14.2)	(60.0, 17.1)	(50.0, 21.4)	(52.0, 16.4)
Appraisers and assessors of real estate	(119.0, 30.8)	(138.0, 31.2)	(125.0, 34.7)	(134.0, 35.7)	(118.0, 25.8)	(102.0, 33.4)	(99.0, 28.9)	(79.0, 34.0)	(88.0, 34.4)	(93.0, 40.6)	(98.0, 42.4)	(95.0, 40.1)						
Architects													(163.0, 19.8)	(160.0, 16.7)	(169.0, 17.9)	(158.0, 17.5)	(194.0, 15.7)	(197.0, 20.1)
Architects, except naval	(180.0, 22.1)	(207.0, 24.0)	(235.0, 24.4)	(221.0, 22.2)	(240.0, 24.7)	(233.0, 24.8)	(204.0, 25.3)	(184.0, 24.4)	(181.0, 20.7)	(195.0, 23.5)	(193.0, 25.0)	(178.0, 25.3)						
Architectural and engineering managers									(106.0, 8.5)	(120.0, 10.9)	(121.0, 10.7)	(122.0, 7.6)						
Architecture and engineering occupations	(2.727, 14.1)	(2.76, 13.8)	(2.793, 13.8)	(2.83, 14.5)	(2.932, 14.4)	(2.931, 13.5)	(2.74, 13.8)	(2.619, 12.9)	(2.785, 13.6)	(2.846, 13.7)	(2.806, 14.1)	(2.798, 15.4)						
Archivists, curators, and museum technicians					(42.0, -1)	(35.0, -1)	(41.0, -1)	(50.0, 56.4)	(48.0, -1)	(46.0, -1)	(41.0, -1)	(47.0, -1)						
Artists and related workers	(212.0, 50.0)	(222.0, 50.7)	(234.0, 52.6)	(223.0, 52.4)	(227.0, 52.9)	(213.0, 48.6)	(213.0, 45.5)	(195.0, 47.1)	(180.0, 48.0)	(212.0, 51.6)	(194.0, 56.4)	(203.0, 48.8)						
Arts, design, entertainment, sports, and media occupations	(2.663, 47.6)	(2.687, 47.0)	(2.736, 47.8)	(2.735, 48.8)	(2.789, 47.1)	(2.82, 47.8)	(2.724, 46.6)	(2.759, 46.2)	(2.779, 46.1)	(2.814, 48.3)	(2.879, 47.2)	(2.935, 47.4)						
Assemblers													(1.255, 38.8)	(1.271, 43.1)	(1.338, 44.6)	(1.319, 43.1)	(1.246, 44.5)	(1.108, 42.2)
Astronomers and physicists					(17.0, -1)	(19.0, -1)	(13.0, -1)	(12.0, -1)	(20.0, -1)	(25.0, -1)	(14.0, -1)	(12.0, -1)						
Athletes													(87.0, 25.3)	(85.0, 30.9)	(92.0, 27.0)	(91.0, 23.7)	(110.0, 28.0)	(95.0, 25.8)
Athletes, coaches, umpires, and related workers	(215.0, 38.2)	(239.0, 31.6)	(273.0, 30.8)	(270.0, 36.9)	(253.0, 36.3)	(252.0, 32.5)	(258.0, 31.5)	(260.0, 34.6)	(272.0, 34.5)	(267.0, 36.5)	(288.0, 34.8)	(294.0, 34.3)						
Atmospheric and space scientists					(7.0, -1)	(10.0, -1)	(6.0, -1)	(7.0, -1)	(7.0, -1)	(15.0, -1)	(14.0, -1)	(7.0, -1)						
Attendants, amusement and recreation facilities													(194.0, 37.5)	(197.0, 38.4)	(206.0, 34.8)	(215.0, 43.2)	(247.0, 39.7)	(267.0, 40.3)
Audiologists					(15.0, -1)	(12.0, -1)	(18.0, -1)	(18.0, -1)	(19.0, -1)	(14.0, -1)	(16.0, -1)	(20.0, -1)						
Authors													(118.0, 54.2)	(114.0, 54.1)	(137.0, 53.6)	(130.0, 55.0)	(148.0, 55.2)	(139.0, 54.7)
Automobile body and related repairers													(181.0, 1.0)	(208.0, 1.2)	(214.0, 1.0)	(188.0, 0.8)	(167.0, 0.7)	(212.0, 2.2)
Automobile mechanics													(819.0, 0.6)	(889.0, 1.2)	(905.0, 1.5)	(877.0, 0.8)	(837.0, 1.4)	(867.0, 1.4)
Automotive and watercraft service attendants									(76.0, 10.6)	(94.0, 9.2)	(92.0, 11.9)	(97.0, 7.5)						
Automotive body and related repairers	(203.0, 2.4)	(169.0, 2.4)	(168.0, 1.9)	(162.0, 0.6)	(155.0, 1.6)	(157.0, 2.1)	(163.0, 1.5)	(168.0, 1.2)	(140.0, 1.2)	(140.0, 1.8)	(168.0, 1.5)	(133.0, 1.6)						
Automotive glass installers and repairers					(16.0, -1)	(28.0, -1)	(24.0, -1)	(24.0, -1)	(17.0, -1)	(22.0, -1)	(27.0, -1)	(21.0, -1)						
Automotive service technicians and mechanics	(884.0, 1.3)	(936.0, 1.3)	(954.0, 1.8)	(875.0, 1.6)	(879.0, 0.7)	(852.0, 1.6)	(799.0, 1.8)	(802.0, 1.6)	(855.0, 1.4)	(867.0, 1.2)	(863.0, 1.8)	(883.0, 1.4)						
Avionics technicians					(14.0, -1)	(18.0, -1)	(14.0, -1)	(13.0, -1)	(16.0, -1)	(14.0, -1)	(10.0, -1)	(8.0, -1)						
Baggage porters, bellhops, and concierges	(85.0, 20.3)	(70.0, 17.5)	(69.0, 15.7)	(78.0, 20.6)	(60.0, 16.7)	(72.0, 17.3)	(74.0, 22.2)	(77.0, 17.9)	(81.0, 14.0)	(68.0, 25.0)	(87.0, 15.9)	(85.0, 20.2)						
Bailiffs, correctional officers, and jailers	(371.0, 26.2)	(373.0, 28.4)	(424.0, 29.1)	(451.0, 28.2)	(444.0, 29.5)	(403.0, 30.0)	(435.0, 26.9)	(465.0, 26.1)	(446.0, 27.9)	(371.0, 28.0)	(413.0, 27.2)	(395.0, 28.6)						
Bakers	(183.0, 48.5)	(188.0, 45.6)	(183.0, 54.0)	(186.0, 57.9)	(192.0, 54.1)	(194.0, 55.7)	(193.0, 56.0)	(206.0, 57.0)	(207.0, 55.0)	(199.0, 53.9)	(207.0, 59.8)	(224.0, 62.8)	(129.0, 38.5)	(148.0, 45.8)	(150.0, 45.2)	(152.0, 44.9)	(146.0, 44.7)	(148.0, 50.3)
Bank tellers													(443.0, 90.1)	(431.0, 90.1)	(446.0, 90.1)	(416.0, 89.5)	(425.0, 87.7)	(477.0, 87.3)
Barbers	(95.0, 17.7)	(101.0, 18.4)	(106.0, 19.2)	(100.0, 17.7)	(102.0, 26.1)	(87.0, 20.8)	(93.0, 18.6)	(96.0, 17.9)	(89.0, 24.0)	(109.0, 21.9)	(127.0, 19.2)	(110.0, 16.8)	(87.0, 16.3)	(85.0, 25.2)	(79.0, 22.8)	(66.0, 18.5)	(81.0, 20.3)	(91.0, 23.4)
Bartenders	(349.0, 57.7)	(360.0, 58.2)	(384.0, 56.8)	(389.0, 55.0)	(375.0, 54.0)	(365.0, 58.3)	(404.0, 56.4)	(393.0, 55.2)	(392.0, 55.7)	(412.0, 59.9)	(417.0, 58.0)	(416.0, 57.5)	(287.0, 53.5)	(314.0, 53.8)	(310.0, 57.2)	(324.0, 54.6)	(316.0, 48.4)	(341.0, 55.1)
Bill and account collectors	(225.0, 69.8)	(229.0, 70.2)	(207.0, 72.2)	(213.0, 62.2)	(216.0, 63.2)	(232.0, 68.0)	(195.0, 68.6)	(216.0, 65.4)	(211.0, 70.6)	(206.0, 69.1)	(177.0, 66.1)	(165.0, 66.6)	(151.0, 72.2)	(166.0, 68.7)	(172.0, 68.6)	(195.0, 70.5)	(175.0, 69.8)	(212.0, 68.5)
Billing and posting clerks									(471.0, 90.1)	(475.0, 90.1)	(497.0, 91.7)	(507.0, 91.2)						
Billing and posting clerks and machine operators	(454.0, 90.5)	(441.0, 91.6)	(427.0, 89.0)	(422.0, 88.1)	(442.0, 89.5)	(516.0, 90.9)	(481.0, 89.9)	(472.0, 92.2)										
Billing clerks													(176.0, 90.4)	(169.0, 88.5)	(161.0, 93.8)	(185.0, 87.2)	(179.0, 92.0)	(229.0, 89.7)
Billing, posting, and calculating machine operators													(91.0, 92.2)	(104.0, 89.6)	(98.0, 91.6)	(105.0, 94.1)	(105.0, 88.1)	(159.0, 89.8)
Biological and life scientists													(110.0, 31.8)	(116.0, 39.0)		(104.0, 38.8)	(109.0, 43.8)	(119.0, 44.0)
Biological scientists	(112.0, 46.1)	(123.0, 45.2)	(119.0, 48.7)	(116.0, 46.6)	(92.0, 42.6)	(101.0, 52.9)	(98.0, 45.1)	(113.0, 45.8)	(114.0, 48.2)	(101.0, 50.1)	(112.0, 52.7)	(110.0, 45.9)						
Biological technicians					(23.0, -1)	(24.0, -1)	(20.0, -1)	(16.0, -1)	(21.0, -1)	(19.0, -1)	(21.0, -1)	(25.0, -1)	(96.0, 50.0)	(79.0, 57.6)	(106.0, 57.2)	(108.0, 68.2)	(106.0, 64.1)	(131.0, 59.5)
Biomedical engineers					(12.0, -1)	(9.0, -1)	(16.0, -1)	(17.0, -1)	(12.0, -1)	(10.0, -1)	(11.0, -1)	(14.0, -1)						
Boilermakers					(24.0, -1)	(22.0, -1)	(22.0, -1)	(22.0, -1)	(19.0, -1)	(23.0, -1)	(18.0, -1)	(17.0, -1)						
Bookbinders and bindery workers					(47.0, -1)	(36.0, -1)	(25.0, -1)	(20.0, -1)										
Bookkeepers, accounting, and auditing clerks													(1.776, 92.8)	(1.774, 91.9)	(1.735, 92.3)	(1.726, 93.0)	(1.691, 91.4)	(1.592, 92.7)
Bookkeeping, accounting, and auditing clerks	(1.545, 92.3)	(1.567, 91.8)	(1.456, 91.3)	(1.511, 90.3)	(1.49, 90.3)	(1.434, 91.5)	(1.306, 92.2)	(1.297, 90.9)	(1.3, 89.9)	(1.268, 89.1)	(1.241, 88.7)	(1.231, 90.2)						
Brickmasons and stonemasons													(181.0, 1.4)	(162.0, 0.2)	(184.0, 0.7)	(195.0, 1.2)	(197.0, 1.3)	(236.0, 0.4)
Brickmasons, blockmasons, and stonemasons	(218.0, 0.9)	(239.0, 0.9)	(245.0, 0.9)	(244.0, 1.6)	(233.0, 1.2)	(230.0, 0.4)	(151.0, 0.1)	(162.0, 0.1)	(146.0, 0.9)	(122.0, 0.1)	(130.0, 0.7)	(142.0, 0.7)						
Bridge and lock tenders					(3.0, -1)	(7.0, -1)	(4.0, -1)	(4.0, -1)	(6.0, -1)	(7.0, -1)	(5.0, -1)	(6.0, -1)						
Broadcast and sound engineering technicians and radio operators	(94.0, 8.1)	(92.0, 12.1)	(92.0, 13.6)	(89.0, 15.6)	(89.0, 11.6)	(98.0, 16.1)	(93.0, 9.4)	(102.0, 9.9)	(106.0, 9.9)	(108.0, 8.4)	(99.0, 9.4)	(108.0, 13.0)						
Brokerage clerks					(6.0, -1)	(5.0, -1)	(4.0, -1)	(9.0, -1)	(11.0, -1)	(5.0, -1)	(2.0, -1)	(5.0, -1)						
Budget analysts	(56.0, 66.7)		(54.0, 68.0)	(52.0, 55.7)	(62.0, 66.1)	(64.0, 57.1)	(57.0, 59.3)	(48.0, -1)	(53.0, 51.8)	(55.0, 52.5)	(62.0, 49.3)	(48.0, -1)						
Building and grounds cleaning and maintenance occupations	(4.947, 41.0)	(5.185, 40.5)	(5.241, 40.6)	(5.381, 40.0)	(5.469, 40.0)	(5.445, 40.2)	(5.349, 40.4)	(5.328, 40.6)	(5.492, 38.8)	(5.591, 38.6)	(5.661, 38.7)	(5.803, 40.2)						
Bus and truck mechanics and diesel engine specialists	(339.0, 0.8)	(325.0, 0.6)	(365.0, 0.5)	(367.0, 0.9)	(365.0, 1.1)	(358.0, 0.9)	(330.0, 0.8)	(339.0, 0.7)	(312.0, 0.7)	(316.0, 0.5)	(316.0, 0.8)	(323.0, 0.3)						
Bus drivers	(558.0, 48.4)	(602.0, 48.5)	(591.0, 48.7)	(565.0, 49.6)	(578.0, 51.6)	(651.0, 49.0)	(655.0, 51.5)	(600.0, 47.0)	(573.0, 43.4)	(558.0, 45.5)	(582.0, 45.7)	(584.0, 45.0)	(526.0, 46.4)	(512.0, 46.8)	(472.0, 47.8)	(471.0, 50.4)	(490.0, 51.1)	(605.0, 48.4)
Bus, truck, and stationary engine mechanics													(321.0, 0.5)	(336.0, 0.3)	(341.0, 0.7)	(334.0, 0.6)	(330.0, 0.8)	(343.0, 0.7)
Business and financial operations occupations	(5.465, 55.4)	(5.68, 55.8)	(5.765, 55.9)	(5.983, 55.0)	(6.091, 55.9)	(6.207, 56.2)	(6.082, 56.3)	(5.937, 54.9)	(6.339, 55.3)	(6.636, 55.8)	(6.757, 55.7)	(6.972, 55.7)						
